               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085577,            0.009455,            0.011263,            0.091949,             0.15884,            0.046615,              0.0183,            0.071414,            0.042071,           0.0043464,           0.0033291,           0.0033291,            0.070038
                   1,            0.065867,            0.007885,           0.0039211,             0.65144,             0.15809,             0.12776,             0.04481,            0.068631,            0.032587,           0.0036657,           0.0066624,           0.0066624,            0.040038
                   2,            0.073178,           0.0066469,           0.0047006,             0.64993,             0.16702,             0.12763,            0.040583,            0.068339,            0.031057,           0.0041357,           0.0099957,           0.0099957,            0.010038
                   3,            0.072948,           0.0067087,           0.0052351,             0.67083,              0.1622,             0.13087,            0.044449,            0.069058,            0.028587,           0.0054201,           0.0099998,           0.0099998,           0.0099998
                   4,            0.066691,           0.0066418,            0.003991,             0.68871,             0.17292,             0.20416,            0.062216,            0.064071,            0.029556,           0.0037942,           0.0099998,           0.0099998,           0.0099998
                   5,             0.06495,           0.0066116,           0.0039188,             0.24612,             0.53641,             0.28716,            0.090068,            0.059501,             0.02731,           0.0029771,           0.0099997,           0.0099997,           0.0099997
                   6,            0.062547,           0.0063808,           0.0033993,             0.67277,             0.18382,             0.22675,            0.079351,            0.061059,            0.027861,           0.0036255,           0.0099995,           0.0099995,           0.0099995
                   7,            0.061548,           0.0062511,           0.0028865,             0.36795,             0.37997,             0.28881,            0.098496,            0.058407,            0.025818,           0.0024093,           0.0099993,           0.0099993,           0.0099993
                   8,            0.060165,           0.0059375,           0.0026096,             0.71593,             0.22722,             0.24357,            0.079469,            0.057638,            0.026014,           0.0025332,            0.009999,            0.009999,            0.009999
                   9,            0.059156,           0.0060579,           0.0025653,             0.29331,             0.55834,             0.35137,             0.11086,            0.057862,            0.027596,           0.0048128,           0.0099987,           0.0099987,           0.0099987
                  10,            0.058585,           0.0060398,           0.0031627,             0.35227,             0.53557,             0.40098,             0.13623,            0.055937,            0.025866,           0.0024214,           0.0099984,           0.0099984,           0.0099984
                  11,            0.056432,           0.0057544,           0.0024083,             0.25035,              0.4164,             0.28111,             0.10149,            0.054898,            0.025416,           0.0024391,            0.009998,            0.009998,            0.009998
                  12,            0.054913,            0.005679,           0.0022082,             0.28938,             0.60931,             0.39469,              0.1385,            0.053586,            0.025029,           0.0023539,           0.0099976,           0.0099976,           0.0099976
                  13,             0.05447,           0.0058628,           0.0024787,             0.35891,             0.61206,             0.46626,             0.18607,             0.05288,            0.024639,           0.0022831,           0.0099972,           0.0099972,           0.0099972
                  14,            0.054384,           0.0055973,           0.0019313,             0.34844,             0.57591,             0.42518,             0.16527,            0.052247,            0.023879,           0.0024075,           0.0099967,           0.0099967,           0.0099967
                  15,            0.054082,           0.0056187,           0.0021803,             0.36803,             0.43384,             0.37149,             0.14518,             0.05131,            0.024779,           0.0023576,           0.0099961,           0.0099961,           0.0099961
                  16,            0.053164,           0.0054231,           0.0024353,             0.54747,             0.51399,             0.45427,             0.17142,            0.050436,            0.025247,           0.0025278,           0.0099956,           0.0099956,           0.0099956
                  17,             0.05393,           0.0054445,           0.0021398,             0.39855,             0.40223,             0.35503,             0.13333,            0.050525,            0.024281,           0.0025984,           0.0099949,           0.0099949,           0.0099949
                  18,            0.052274,           0.0054155,           0.0018078,             0.35783,             0.39381,             0.35689,             0.13694,            0.050075,            0.023583,           0.0022808,           0.0099943,           0.0099943,           0.0099943
                  19,            0.052265,           0.0053756,           0.0019199,             0.42529,              0.3361,             0.35008,             0.14048,            0.049405,             0.02422,           0.0022699,           0.0099936,           0.0099936,           0.0099936
                  20,            0.051923,           0.0052729,           0.0022196,             0.56616,             0.55884,             0.50255,             0.20895,            0.049522,            0.024215,           0.0023209,           0.0099929,           0.0099929,           0.0099929
                  21,            0.051439,           0.0054208,           0.0016884,             0.42284,             0.43945,             0.43793,             0.18387,            0.047809,            0.023187,           0.0022168,           0.0099921,           0.0099921,           0.0099921
                  22,            0.050281,           0.0053682,           0.0017706,             0.56842,              0.5417,              0.5508,             0.24371,            0.046676,            0.022768,           0.0022872,           0.0099913,           0.0099913,           0.0099913
                  23,            0.050118,           0.0053067,           0.0019424,             0.51149,             0.60991,             0.50749,             0.21442,            0.046295,             0.02243,           0.0023728,           0.0099905,           0.0099905,           0.0099905
                  24,            0.051546,           0.0052535,           0.0018695,             0.39076,             0.67236,             0.47039,             0.20952,            0.047399,            0.022904,           0.0021001,           0.0099896,           0.0099896,           0.0099896
                  25,             0.04927,           0.0053162,           0.0017573,             0.44088,             0.67089,             0.49441,             0.21854,            0.046754,            0.022426,           0.0021698,           0.0099886,           0.0099886,           0.0099886
                  26,            0.050424,           0.0053721,           0.0019635,             0.50868,             0.68618,             0.54676,              0.2506,            0.046722,            0.022803,           0.0024498,           0.0099877,           0.0099877,           0.0099877
                  27,            0.049381,           0.0051946,           0.0020384,             0.49376,             0.66473,             0.50194,             0.19629,             0.04598,            0.022867,           0.0020371,           0.0099867,           0.0099867,           0.0099867
                  28,            0.050597,           0.0053613,           0.0024304,             0.47474,             0.64719,             0.52517,              0.2286,             0.04505,            0.022893,           0.0020787,           0.0099856,           0.0099856,           0.0099856
                  29,            0.049517,           0.0051943,           0.0015283,             0.51526,             0.64771,              0.5011,             0.21303,            0.045697,            0.022672,           0.0021753,           0.0099845,           0.0099845,           0.0099845
                  30,             0.04869,           0.0051587,           0.0015723,             0.63207,             0.63695,             0.59065,             0.27035,            0.044174,            0.021928,           0.0021219,           0.0099834,           0.0099834,           0.0099834
                  31,            0.049256,           0.0053836,           0.0022553,             0.59058,             0.57961,             0.56311,             0.25747,            0.045651,            0.023011,            0.002142,           0.0099822,           0.0099822,           0.0099822
                  32,            0.048703,           0.0050844,           0.0023279,             0.59457,             0.73029,             0.62966,             0.28554,            0.044251,            0.022149,           0.0022101,            0.009981,            0.009981,            0.009981
                  33,              0.0485,           0.0052487,           0.0022568,             0.55913,             0.66971,             0.57426,              0.2543,            0.043683,            0.022241,           0.0021125,           0.0099798,           0.0099798,           0.0099798
                  34,            0.049986,           0.0051857,            0.002295,             0.68555,             0.58986,             0.64062,             0.28895,            0.044893,             0.02234,           0.0020903,           0.0099785,           0.0099785,           0.0099785
                  35,            0.049514,           0.0052012,           0.0014466,             0.62793,             0.65198,              0.6425,             0.27756,            0.043626,            0.021776,           0.0022036,           0.0099772,           0.0099772,           0.0099772
                  36,            0.048826,           0.0050627,           0.0017741,             0.59037,             0.70165,             0.61759,             0.29154,            0.043428,             0.02198,           0.0021074,           0.0099758,           0.0099758,           0.0099758
                  37,            0.048577,           0.0050917,            0.001592,              0.6271,             0.67909,             0.63078,             0.29717,            0.043427,            0.021985,           0.0021417,           0.0099744,           0.0099744,           0.0099744
                  38,            0.048061,           0.0051356,           0.0017877,             0.64837,             0.63573,             0.64479,             0.30745,            0.042422,            0.021193,           0.0021043,            0.009973,            0.009973,            0.009973
                  39,            0.046792,           0.0050186,           0.0021262,             0.65202,             0.72292,             0.68918,             0.35745,            0.042378,            0.021487,           0.0078001,           0.0099715,           0.0099715,           0.0099715
                  40,            0.045857,           0.0049843,           0.0014264,             0.61373,             0.70046,             0.62412,             0.30558,            0.042094,            0.021411,           0.0091971,             0.00997,             0.00997,             0.00997
                  41,            0.045884,           0.0049746,           0.0013698,             0.65016,             0.71945,              0.6692,             0.32524,            0.041787,            0.021135,            0.012647,           0.0099685,           0.0099685,           0.0099685
                  42,            0.047377,           0.0049909,           0.0016693,             0.62812,             0.70582,             0.64664,             0.30605,            0.042386,            0.021375,           0.0020383,           0.0099669,           0.0099669,           0.0099669
                  43,            0.047845,           0.0050837,           0.0020048,             0.65811,             0.70494,             0.66404,             0.32489,            0.041983,            0.021161,           0.0020077,           0.0099652,           0.0099652,           0.0099652
                  44,            0.046812,           0.0050126,           0.0018467,             0.62159,              0.7085,             0.65105,             0.30557,            0.041983,             0.02101,           0.0019866,           0.0099636,           0.0099636,           0.0099636
                  45,            0.048106,           0.0051523,           0.0017324,             0.56978,             0.70876,              0.6124,             0.29226,             0.04202,            0.021338,           0.0020309,           0.0099618,           0.0099618,           0.0099618
                  46,             0.04701,           0.0050045,           0.0019923,              0.6871,             0.58176,             0.66212,             0.30673,             0.04134,            0.020852,           0.0019724,           0.0099601,           0.0099601,           0.0099601
                  47,             0.04693,           0.0051911,           0.0017923,               0.702,             0.65356,             0.69116,             0.32293,            0.040962,            0.020587,             0.00189,           0.0099583,           0.0099583,           0.0099583
                  48,            0.046351,           0.0048595,           0.0014812,             0.66673,             0.66378,              0.6712,             0.31522,            0.040886,            0.020555,           0.0018676,           0.0099565,           0.0099565,           0.0099565
                  49,            0.046508,           0.0049359,           0.0013927,             0.65517,             0.66925,              0.6505,             0.32397,            0.041088,            0.020779,           0.0019422,           0.0099546,           0.0099546,           0.0099546
                  50,            0.046241,           0.0049266,           0.0017122,             0.59983,             0.69613,             0.63391,             0.30055,            0.040629,            0.020687,           0.0019878,           0.0099527,           0.0099527,           0.0099527
                  51,            0.045954,           0.0049112,           0.0014636,             0.65087,             0.67816,             0.64396,             0.31094,            0.040646,            0.020648,           0.0019901,           0.0099508,           0.0099508,           0.0099508
                  52,            0.045578,           0.0048212,           0.0012317,             0.69097,             0.72202,             0.68731,             0.34706,            0.040495,            0.020505,           0.0020323,           0.0099488,           0.0099488,           0.0099488
                  53,            0.045645,           0.0048097,           0.0015594,             0.68238,             0.71972,             0.67529,             0.34394,            0.040305,            0.020503,           0.0019974,           0.0099467,           0.0099467,           0.0099467
                  54,            0.044989,           0.0048109,           0.0011905,             0.66234,             0.73821,             0.67854,             0.34549,             0.04007,            0.020392,            0.001978,           0.0099447,           0.0099447,           0.0099447
