               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087068,           0.0096143,            0.011851,              0.1721,              0.2203,             0.10885,            0.040524,            0.069663,            0.044874,           0.0050585,           0.0033291,           0.0033291,            0.070038
                   1,            0.066049,           0.0081751,           0.0046801,             0.65672,             0.15184,             0.14379,            0.045968,            0.068591,            0.035924,           0.0040142,           0.0066624,           0.0066624,            0.040038
                   2,            0.067521,           0.0069088,           0.0044106,             0.63233,             0.12969,            0.076131,            0.024388,            0.080865,            0.031499,           0.0063867,           0.0099957,           0.0099957,            0.010038
                   3,            0.070983,           0.0065005,           0.0045028,             0.17258,             0.52705,             0.22397,            0.063272,            0.067352,            0.029496,            0.002698,           0.0099998,           0.0099998,           0.0099998
                   4,            0.066738,           0.0065947,           0.0037526,             0.71458,             0.18257,             0.18746,            0.064691,             0.06145,            0.028718,           0.0031948,           0.0099998,           0.0099998,           0.0099998
                   5,            0.063023,           0.0065276,           0.0032175,             0.67145,             0.19864,             0.18094,            0.067621,            0.062029,            0.027755,           0.0039171,           0.0099997,           0.0099997,           0.0099997
                   6,            0.061537,           0.0062633,           0.0034204,              0.3364,             0.55648,             0.40747,             0.16323,            0.057826,            0.027166,           0.0025371,           0.0099995,           0.0099995,           0.0099995
                   7,            0.058866,           0.0060555,           0.0022538,             0.39831,             0.56877,             0.45729,             0.16631,            0.055813,            0.026673,           0.0037659,           0.0099993,           0.0099993,           0.0099993
                   8,            0.058962,           0.0060696,            0.002644,             0.70487,             0.23062,             0.23844,            0.086233,            0.057813,            0.028234,           0.0026106,            0.009999,            0.009999,            0.009999
                   9,             0.05863,           0.0058991,           0.0024991,             0.21533,             0.59179,             0.31951,             0.11751,            0.054413,            0.026137,           0.0021582,           0.0099987,           0.0099987,           0.0099987
                  10,            0.056644,           0.0058681,            0.002825,             0.37269,             0.59672,             0.43473,             0.16863,            0.053298,            0.025979,           0.0024467,           0.0099984,           0.0099984,           0.0099984
                  11,            0.057011,            0.005608,           0.0025387,             0.22345,             0.52314,             0.30566,             0.10373,            0.055302,            0.026011,           0.0022644,            0.009998,            0.009998,            0.009998
                  12,            0.057005,           0.0058275,           0.0026574,             0.43627,             0.32425,             0.30463,             0.10959,            0.056187,            0.025751,           0.0023177,           0.0099976,           0.0099976,           0.0099976
                  13,            0.054596,           0.0054042,            0.002483,             0.53097,             0.56854,             0.55036,             0.24408,            0.051648,            0.025466,           0.0021057,           0.0099972,           0.0099972,           0.0099972
                  14,            0.053812,           0.0054629,           0.0018597,             0.45106,             0.62408,             0.49578,             0.19477,            0.051028,            0.024253,           0.0020464,           0.0099967,           0.0099967,           0.0099967
                  15,            0.053826,           0.0055031,           0.0023411,             0.49552,             0.56289,             0.45971,             0.18894,            0.051749,            0.025795,            0.002129,           0.0099961,           0.0099961,           0.0099961
                  16,            0.052545,           0.0055024,           0.0018603,             0.50604,              0.5393,             0.53634,             0.18474,            0.051029,            0.024886,           0.0022946,           0.0099956,           0.0099956,           0.0099956
                  17,            0.052345,           0.0055068,           0.0018535,             0.49062,             0.53317,               0.481,             0.18304,            0.050519,            0.025028,           0.0019583,           0.0099949,           0.0099949,           0.0099949
                  18,            0.051962,           0.0054075,           0.0016436,             0.60385,             0.61385,             0.59813,             0.25984,            0.049129,            0.023479,           0.0021209,           0.0099943,           0.0099943,           0.0099943
                  19,            0.050804,           0.0055491,           0.0020396,             0.59974,             0.52506,             0.54996,             0.23663,            0.048848,            0.023544,           0.0021201,           0.0099936,           0.0099936,           0.0099936
                  20,            0.051821,           0.0054078,           0.0021215,             0.47405,             0.57841,             0.49011,             0.20707,             0.04819,            0.023484,             0.00257,           0.0099929,           0.0099929,           0.0099929
                  21,            0.050722,           0.0050528,           0.0017259,             0.54821,             0.66437,             0.61624,             0.28328,            0.047017,            0.022858,           0.0020457,           0.0099921,           0.0099921,           0.0099921
                  22,            0.050689,            0.005255,           0.0012738,             0.59986,             0.57877,             0.59605,             0.27999,            0.047677,            0.024403,           0.0019856,           0.0099913,           0.0099913,           0.0099913
                  23,            0.051349,            0.005399,           0.0017742,              0.4611,               0.653,             0.53521,             0.23364,            0.047132,            0.023156,           0.0022929,           0.0099905,           0.0099905,           0.0099905
                  24,            0.050592,           0.0052613,           0.0022986,             0.53961,             0.63493,             0.57458,             0.24489,            0.046472,            0.023034,           0.0022434,           0.0099896,           0.0099896,           0.0099896
