               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087409,           0.0091184,            0.012197,            0.067442,             0.40905,            0.074392,            0.017665,            0.069506,            0.043707,           0.0046459,           0.0033291,           0.0033291,            0.070038
                   1,            0.068402,           0.0076921,           0.0047436,             0.62552,             0.14666,            0.086871,             0.02373,            0.071756,            0.031867,           0.0047807,           0.0066624,           0.0066624,            0.040038
                   2,            0.068425,           0.0067848,           0.0045533,             0.14403,             0.45325,             0.14119,            0.036288,            0.071636,            0.031454,           0.0043153,           0.0099957,           0.0099957,            0.010038
                   3,            0.070042,           0.0066593,           0.0040856,             0.45103,             0.47388,             0.19802,            0.066087,             0.06684,            0.030298,           0.0025627,           0.0099998,           0.0099998,           0.0099998
                   4,            0.067292,           0.0063926,           0.0036515,             0.65741,             0.13916,             0.10184,            0.035447,            0.071341,            0.031123,           0.0037257,           0.0099998,           0.0099998,           0.0099998
                   5,            0.064767,           0.0063936,           0.0032453,             0.69264,             0.19168,             0.19899,            0.060615,            0.061427,            0.028199,             0.00246,           0.0099997,           0.0099997,           0.0099997
                   6,            0.063108,            0.006239,           0.0028852,             0.17586,             0.52742,             0.24732,            0.084334,            0.061619,            0.028673,           0.0059073,           0.0099995,           0.0099995,           0.0099995
                   7,            0.060992,           0.0060628,           0.0030724,             0.71234,             0.20557,             0.23207,            0.071808,            0.061157,            0.026368,           0.0023655,           0.0099993,           0.0099993,           0.0099993
                   8,            0.060404,           0.0059447,           0.0031866,             0.22135,              0.6479,             0.34382,             0.11631,            0.056761,            0.027285,           0.0020443,            0.009999,            0.009999,            0.009999
                   9,            0.058751,           0.0059081,           0.0026447,             0.34982,             0.52105,              0.3854,             0.13656,            0.058807,            0.028003,           0.0024566,           0.0099987,           0.0099987,           0.0099987
                  10,              0.0588,           0.0058785,           0.0025674,             0.45198,             0.55938,              0.4682,             0.17464,            0.056836,             0.02669,           0.0024736,           0.0099984,           0.0099984,           0.0099984
                  11,            0.059232,           0.0056831,            0.002747,             0.26319,             0.37645,             0.25359,            0.092456,            0.058644,            0.027897,           0.0029891,            0.009998,            0.009998,            0.009998
                  12,            0.058372,            0.005793,            0.002663,             0.27357,             0.59997,             0.35946,             0.13406,            0.055451,            0.026507,           0.0040303,           0.0099976,           0.0099976,           0.0099976
                  13,            0.056419,           0.0057955,           0.0021447,             0.51083,             0.52756,             0.47958,             0.16239,            0.054056,            0.024941,           0.0021541,           0.0099972,           0.0099972,           0.0099972
                  14,            0.056746,           0.0055689,           0.0025408,             0.29815,              0.5391,             0.38827,             0.16073,            0.054936,            0.025676,           0.0018766,           0.0099967,           0.0099967,           0.0099967
                  15,            0.055518,           0.0058291,           0.0020968,             0.35183,             0.58469,             0.43607,             0.18372,            0.051724,            0.024229,           0.0020483,           0.0099961,           0.0099961,           0.0099961
                  16,            0.055647,           0.0056569,           0.0022964,             0.38003,              0.4449,             0.37262,             0.13496,            0.056612,            0.025409,           0.0024531,           0.0099956,           0.0099956,           0.0099956
                  17,            0.054866,           0.0055315,           0.0019691,             0.56218,             0.50569,             0.51287,             0.20424,            0.051474,            0.023977,           0.0023788,           0.0099949,           0.0099949,           0.0099949
                  18,            0.053775,           0.0053267,           0.0018381,             0.47248,              0.6005,             0.51916,             0.21557,            0.050594,            0.023336,            0.002094,           0.0099943,           0.0099943,           0.0099943
                  19,            0.053401,           0.0054092,           0.0019327,             0.49929,             0.57387,              0.5323,              0.2085,            0.052247,            0.024877,           0.0021053,           0.0099936,           0.0099936,           0.0099936
                  20,             0.05426,           0.0053677,           0.0018605,             0.42657,             0.61096,             0.46494,             0.19504,             0.05076,            0.024214,           0.0027043,           0.0099929,           0.0099929,           0.0099929
                  21,             0.05214,           0.0052231,           0.0018817,             0.56769,              0.5975,             0.59145,              0.2658,            0.049229,            0.023276,           0.0026697,           0.0099921,           0.0099921,           0.0099921
                  22,            0.051653,           0.0052476,           0.0022036,             0.59105,             0.61423,             0.60689,             0.28771,            0.049049,            0.022924,            0.001827,           0.0099913,           0.0099913,           0.0099913
                  23,            0.052582,           0.0054257,           0.0018887,             0.60077,             0.54996,             0.56983,             0.25835,            0.049201,            0.023795,           0.0020529,           0.0099905,           0.0099905,           0.0099905
                  24,            0.053061,           0.0053954,           0.0018076,             0.57789,             0.57565,             0.58263,             0.26717,            0.048459,            0.023015,           0.0019632,           0.0099896,           0.0099896,           0.0099896
                  25,            0.051528,           0.0053188,           0.0018426,             0.49875,             0.61505,             0.55423,             0.24099,            0.048674,            0.023719,            0.002397,           0.0099886,           0.0099886,           0.0099886
                  26,            0.051894,           0.0053809,           0.0016779,             0.54782,             0.49453,             0.51085,             0.20668,            0.047824,            0.023129,           0.0017723,           0.0099877,           0.0099877,           0.0099877
                  27,            0.051336,           0.0052702,            0.001478,             0.48802,             0.64031,             0.58124,             0.27366,            0.046958,            0.022938,             0.00187,           0.0099867,           0.0099867,           0.0099867
                  28,            0.051029,           0.0052392,            0.001714,             0.59328,             0.61912,             0.61638,              0.2875,            0.048592,            0.022977,           0.0023912,           0.0099856,           0.0099856,           0.0099856
                  29,            0.052167,            0.005144,           0.0020002,             0.58726,             0.60745,             0.61054,              0.2842,            0.047525,             0.02313,           0.0020454,           0.0099845,           0.0099845,           0.0099845
                  30,            0.050948,           0.0051695,           0.0017844,              0.6254,             0.60252,             0.61299,             0.31641,             0.04598,            0.022932,           0.0019163,           0.0099834,           0.0099834,           0.0099834
                  31,            0.051457,           0.0052182,           0.0023148,             0.55858,             0.55842,               0.545,              0.2405,            0.047336,            0.022887,           0.0021081,           0.0099822,           0.0099822,           0.0099822
                  32,            0.051169,           0.0052718,           0.0018773,             0.56802,             0.66824,             0.62568,               0.306,            0.047061,            0.022277,           0.0022942,            0.009981,            0.009981,            0.009981
                  33,            0.051243,           0.0051353,           0.0014585,             0.57539,             0.65331,             0.60977,             0.29274,            0.046314,            0.022621,           0.0019773,           0.0099798,           0.0099798,           0.0099798
                  34,             0.05152,           0.0052865,           0.0022715,             0.54734,             0.67636,             0.60359,             0.28526,            0.046089,            0.022691,           0.0020336,           0.0099785,           0.0099785,           0.0099785
                  35,            0.049872,           0.0050218,           0.0013167,             0.57142,             0.68229,             0.63751,             0.28677,             0.04545,            0.022061,           0.0019635,           0.0099772,           0.0099772,           0.0099772
                  36,            0.050748,           0.0052174,           0.0019824,              0.6227,             0.67584,             0.63236,             0.28633,            0.044875,            0.022356,           0.0021258,           0.0099758,           0.0099758,           0.0099758
                  37,             0.04945,           0.0050973,           0.0016855,             0.62763,             0.60333,             0.61941,             0.30648,            0.044679,            0.022116,           0.0024002,           0.0099744,           0.0099744,           0.0099744
                  38,            0.049702,           0.0050296,           0.0015708,             0.57066,             0.63266,             0.57645,             0.26864,            0.044892,            0.022096,           0.0021757,            0.009973,            0.009973,            0.009973
                  39,            0.049374,           0.0049868,           0.0015765,             0.60679,             0.69118,               0.622,             0.29689,             0.04485,            0.022081,           0.0019639,           0.0099715,           0.0099715,           0.0099715
                  40,            0.050744,           0.0051491,           0.0018989,             0.61054,             0.61878,             0.58535,               0.278,             0.04508,            0.022654,           0.0021268,             0.00997,             0.00997,             0.00997
                  41,            0.049576,            0.005194,           0.0018227,              0.5904,             0.62981,             0.59831,             0.28393,            0.044053,             0.02203,           0.0019155,           0.0099685,           0.0099685,           0.0099685
                  42,            0.048784,           0.0050998,           0.0013295,             0.62033,             0.70217,             0.68353,             0.34665,            0.043614,            0.021677,           0.0020794,           0.0099669,           0.0099669,           0.0099669
                  43,             0.04845,           0.0049153,           0.0014153,             0.61639,             0.74343,             0.68655,             0.34259,            0.043533,             0.02142,           0.0020068,           0.0099652,           0.0099652,           0.0099652
                  44,             0.04942,           0.0049382,           0.0017215,             0.64267,             0.70638,              0.6678,             0.32766,            0.043532,            0.021656,           0.0019399,           0.0099636,           0.0099636,           0.0099636
                  45,            0.047242,           0.0049753,           0.0018024,             0.57831,             0.70707,             0.63484,             0.32506,            0.043162,            0.021386,           0.0018771,           0.0099618,           0.0099618,           0.0099618
                  46,            0.047607,            0.004923,           0.0012917,             0.69263,              0.6086,             0.65761,             0.34515,            0.043097,            0.021098,           0.0018476,           0.0099601,           0.0099601,           0.0099601
                  47,            0.047998,            0.004921,            0.001721,             0.64579,             0.65804,             0.65087,             0.33143,            0.043064,            0.021432,           0.0018396,           0.0099583,           0.0099583,           0.0099583
                  48,            0.049349,           0.0050977,           0.0018614,             0.63966,              0.6937,             0.66946,             0.34744,            0.042649,            0.021303,           0.0019882,           0.0099565,           0.0099565,           0.0099565
                  49,              0.0481,           0.0050187,           0.0014815,             0.64622,             0.70997,             0.68028,             0.34768,            0.042527,            0.021169,           0.0019775,           0.0099546,           0.0099546,           0.0099546
                  50,            0.048088,           0.0050052,           0.0014148,             0.66268,             0.69106,             0.67553,             0.33562,            0.042574,            0.021016,           0.0019139,           0.0099527,           0.0099527,           0.0099527
                  51,            0.048654,           0.0049961,           0.0016298,             0.65828,             0.71076,             0.69697,             0.36667,            0.042679,            0.020984,           0.0019685,           0.0099508,           0.0099508,           0.0099508
                  52,            0.049631,           0.0050299,           0.0016609,             0.69865,             0.70232,             0.71869,             0.40024,            0.042361,            0.021137,           0.0019494,           0.0099488,           0.0099488,           0.0099488
                  53,             0.04913,           0.0050027,            0.002311,             0.70591,             0.70001,             0.72349,             0.41307,            0.042084,            0.021283,           0.0019018,           0.0099467,           0.0099467,           0.0099467
                  54,            0.048399,           0.0049061,            0.001784,             0.66826,             0.73238,             0.71632,             0.39982,            0.042262,            0.021093,           0.0018701,           0.0099447,           0.0099447,           0.0099447
                  55,            0.048125,           0.0049368,           0.0019031,             0.66314,             0.73343,             0.70212,             0.37517,            0.042229,            0.021121,           0.0018637,           0.0099426,           0.0099426,           0.0099426
                  56,            0.048363,           0.0047964,           0.0015996,             0.68254,             0.69716,             0.68736,             0.36419,            0.042032,            0.021098,           0.0018191,           0.0099404,           0.0099404,           0.0099404
                  57,            0.047231,           0.0048915,           0.0014516,              0.6984,             0.72351,             0.70992,             0.38027,            0.041717,            0.021003,           0.0018461,           0.0099383,           0.0099383,           0.0099383
                  58,            0.047144,           0.0049257,           0.0014334,              0.6884,             0.71281,             0.68827,             0.37231,            0.041644,            0.020928,           0.0019181,            0.009936,            0.009936,            0.009936
                  59,            0.048218,           0.0049326,           0.0016777,             0.66604,             0.71058,             0.68203,             0.35896,            0.041444,            0.021141,           0.0019804,           0.0099338,           0.0099338,           0.0099338
                  60,            0.046762,           0.0047765,           0.0014977,             0.63409,             0.74909,             0.68166,             0.35423,            0.041412,            0.021079,            0.001977,           0.0099315,           0.0099315,           0.0099315
                  61,            0.047721,           0.0048801,           0.0017619,             0.64752,             0.70879,             0.67682,             0.35131,            0.041433,            0.021034,           0.0019584,           0.0099291,           0.0099291,           0.0099291
                  62,            0.048374,           0.0049654,           0.0017595,             0.67531,             0.68485,             0.67449,             0.34905,            0.041512,             0.02111,           0.0019748,           0.0099268,           0.0099268,           0.0099268
                  63,            0.048234,           0.0049542,           0.0010942,              0.6527,             0.72248,             0.68852,             0.36956,             0.04134,            0.021088,           0.0019055,           0.0099244,           0.0099244,           0.0099244
                  64,            0.047064,           0.0049038,           0.0013243,             0.69387,             0.69388,             0.70226,              0.3823,            0.041148,            0.020941,           0.0019419,           0.0099219,           0.0099219,           0.0099219
                  65,            0.047621,           0.0051232,            0.001836,              0.7008,             0.71076,             0.72298,             0.40172,            0.041233,            0.020876,           0.0018907,           0.0099194,           0.0099194,           0.0099194
                  66,            0.048736,           0.0050283,           0.0018209,             0.76832,             0.64914,             0.72713,             0.40017,            0.041283,            0.020966,           0.0019026,           0.0099169,           0.0099169,           0.0099169
                  67,            0.047544,           0.0048455,           0.0018215,             0.72365,             0.67826,             0.72657,             0.40057,            0.041147,            0.020882,           0.0018734,           0.0099143,           0.0099143,           0.0099143
                  68,             0.04738,           0.0048218,           0.0012232,             0.68343,             0.72151,             0.72864,             0.40159,            0.040932,            0.020842,           0.0018718,           0.0099117,           0.0099117,           0.0099117
                  69,            0.047202,           0.0048558,           0.0015955,             0.70653,             0.71108,              0.7284,             0.39761,            0.040711,            0.020811,           0.0018722,           0.0099091,           0.0099091,           0.0099091
                  70,            0.046532,           0.0048155,           0.0012929,             0.71839,             0.69982,             0.72623,             0.39819,            0.040584,            0.020755,           0.0018433,           0.0099064,           0.0099064,           0.0099064
                  71,            0.046136,           0.0048937,           0.0017784,              0.6968,             0.71893,             0.72573,              0.3987,             0.04049,            0.020684,           0.0018436,           0.0099037,           0.0099037,           0.0099037
                  72,            0.047364,           0.0048734,             0.00146,             0.69521,             0.70357,             0.72536,             0.39794,            0.040333,            0.020632,           0.0018702,           0.0099009,           0.0099009,           0.0099009
                  73,            0.046157,           0.0048358,           0.0017498,             0.66956,             0.73481,             0.72625,             0.39925,             0.04025,            0.020585,           0.0018841,           0.0098981,           0.0098981,           0.0098981
                  74,            0.047312,             0.00496,           0.0013302,             0.71727,             0.68327,              0.7232,             0.39642,            0.040176,            0.020573,           0.0019035,           0.0098953,           0.0098953,           0.0098953
                  75,            0.047334,           0.0049995,            0.001423,             0.67246,             0.73449,             0.72221,             0.39579,            0.040158,             0.02051,            0.001894,           0.0098924,           0.0098924,           0.0098924
                  76,            0.046315,           0.0047813,           0.0015632,             0.67151,             0.73365,             0.72112,             0.39377,            0.040121,            0.020451,           0.0018872,           0.0098895,           0.0098895,           0.0098895
                  77,            0.046547,            0.004722,           0.0018258,             0.68245,             0.73687,             0.72595,             0.40225,            0.040094,            0.020418,           0.0018808,           0.0098865,           0.0098865,           0.0098865
